Title,Offered by,Level,Rating,URL,Description,Skills
Probabilistic Graphical Models 3: Learning,Stanford University,Advanced,4.6,https://in.coursera.org/learn/probabilistic-graphical-models-3-learning,"Probabilistic graphical models (PGMs) are a rich framework for encoding probability distributions over complex domains: joint (multivariate) distributions over large numbers of random variables that interact with each other. These representations sit at the intersection of statistics and computer science, relying on concepts from probability theory, graph algorithms, machine learning, and more. They are the basis for the state-of-the-art methods in a wide variety of applications, such as medical diagnosis, image understanding, speech recognition, natural language processing, and many, many more. They are also a foundational tool in formulating many machine learning problems. 

This course is the third in a sequence of three. Following the first course, which focused on representation, and the second, which focused on inference, this course addresses the question of learning: how a PGM can be learned from a data set of examples. The course discusses the key problems of parameter estimation in both directed and undirected models, as well as the structure learning task for directed models. The (highly recommended) honors track contains two hands-on programming assignments, in which key routines of two commonly used learning algorithms are implemented and applied to a real-world problem.",Algorithms Expectation–Maximization (EM) Algorithm Graphical Model Markov Random Field
AI For Everyone,DeepLearning.AI,Beginner,4.8,https://in.coursera.org/learn/ai-for-everyone,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take. 

In this course, you will learn:

- The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science
- What AI realistically can--and cannot--do
- How to spot opportunities to apply AI to problems in your own organization
- What it feels like to build machine learning and data science projects
- How to work with an AI team and build an AI strategy in your company
- How to navigate ethical and societal discussions surrounding AI

Though this course is largely non-technical, engineers can also take this course to learn the business aspects of AI.",Workflow of Machine Learning projects AI terminology AI strategy Workflow of Data Science projects
"ML Parameters Optimization: GridSearch, Bayesian, Random",Coursera,Beginner,Not available,https://in.coursera.org/projects/ml-parameters-optimization-gridsearch-bayesian-random,"Hello everyone and welcome to this new hands-on project on Machine Learning hyperparameters optimization. In this project, we will optimize machine learning regression models parameters using several techniques such as grid search, random search and Bayesian optimization. Hyperparameter optimization is a key step in developing machine learning models and it works by fine tuning ML models so they can optimally perform on a given dataset",Data Analysis Machine Learning Mathematical Optimization
AI in Healthcare Specialization,Stanford University,Beginner,4.7,https://in.coursera.org/specializations/ai-healthcare,"Artificial intelligence (AI) has transformed industries around the world, and has the potential to radically alter the field of healthcare. Imagine being able to analyze data on patient visits to the clinic, medications prescribed, lab tests, and procedures performed, as well as data outside the health system -- such as social media, purchases made using credit cards, census records, Internet search activity logs that contain valuable health information, and you’ll get a sense of how AI could transform patient care and diagnoses.

In this specialization, we'll discuss the current and future applications of AI in healthcare with the goal of learning to bring AI technologies into the clinic safely and ethically.  

This specialization is designed for both healthcare providers and computer science professionals, offering insights to facilitate collaboration between the disciplines.",Machine Learning in healthcare
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate,Google Cloud,Intermediate,4.6,https://in.coursera.org/professional-certificates/gcp-data-engineering,"Google Cloud Professional Data Engineer certification was ranked #1 on Global Knowledge's list of 15 top-paying certifications in 2021! Enroll now to prepare!

87% of Google Cloud certified users feel more confident in their cloud skills. This program provides the skills you need to advance your career and provides training to support your preparation for the industry-recognized Google Cloud Professional Data Engineer certification.

Here's what you have to do

1) Complete the Coursera Data Engineering Professional Certificate

2) Review other recommended resources for the Google Cloud Professional Data Engineer certification exam

3) Review the Professional Data Engineer exam guide

4) Complete Professional Data Engineer sample questions

5) Register for the Google Cloud certification exam (remotely or at a test center)

Applied Learning Project

This professional certificate incorporates hands-on labs using Qwiklabs platform.These hands on components will let you apply the skills you learn. Projects incorporate Google Cloud Platform products used within Qwiklabs. You will gain practical hands-on experience with the concepts explained throughout the modules.",Information Engineering Google Cloud Bigquery Tensorflow Cloud Computing Google Cloud Platform
A Crash Course in Data Science,Johns Hopkins University,Beginner,4.5,https://in.coursera.org/learn/data-science-course,"By now you have definitely heard about data science and big data. In this one-week class, we will provide a crash course in what these terms mean and how they play a role in successful organizations. This class is for anyone who wants to learn what all the data science action is about, including those who will eventually need to manage data scientists. The goal is to get you up to speed as quickly as possible on data science without all the fluff. We've designed this course to be as convenient as possible without sacrificing any of the essentials.

This is a focused course designed to rapidly get you up to speed on the field of data science. Our goal was to make this as convenient as possible for you without sacrificing any essential content. We've left the technical information aside so that you can focus on managing your team and moving it forward.

After completing this course you will know. 

1. How to describe the role data science plays in various contexts
2. How statistics, machine learning, and software engineering play a role in data science
3. How to describe the structure of a data science project
4. Know the key terms and tools used by data scientists
5. How to identify a successful and an unsuccessful data science project
3. The role of a data science manager",Data Science Data Analysis Machine Learning Project
AI Workflow: Data Analysis and Hypothesis Testing,IBM,Advanced,4.2,https://in.coursera.org/learn/ibm-ai-workflow-data-analysis-hypothesis-testing,"This is the second course in the IBM AI Enterprise Workflow Certification specialization.  You are STRONGLY encouraged to complete these courses in order as they are not individual independent courses, but part of a workflow where each course builds on the previous ones.  

In this course you will begin your work for a hypothetical streaming media company by doing exploratory data analysis (EDA).  Best practices for data visualization, handling missing data, and hypothesis testing will be introduced to you as part of your work.  You will learn techniques of estimation with probability distributions and extending these estimates to apply null hypothesis significance tests. You will apply what you learn through two hands on case studies: data visualization and multiple testing using a simple pipeline.
 
By the end of this course you should be able to:
1.  List several best practices concerning EDA and data visualization
2.  Create a simple dashboard in Watson Studio
3.  Describe strategies for dealing with missing data
4.  Explain the difference between imputation and multiple imputation
5.  Employ common distributions to answer questions about event probabilities
6.  Explain the investigative role of hypothesis testing in EDA
7.  Apply several methods for dealing with multiple testing",Data Science Information Engineering Artificial Intelligence (AI) Machine Learning Python Programming
AI Workflow: Business Priorities and Data Ingestion,IBM,Intermediate,4.3,https://in.coursera.org/learn/ibm-ai-workflow-business-priorities-data-ingestion,"This is the first course of a six part specialization.  You are STRONGLY encouraged to complete these courses in order as they are not individual independent courses, but part of a workflow where each course builds on the previous ones.

This first course in the IBM AI Enterprise Workflow Certification specialization introduces you to the scope of the specialization and prerequisites.  Specifically, the courses in this specialization are meant for practicing data scientists who are knowledgeable about probability, statistics, linear algebra, and Python tooling for data science and machine learning.  A hypothetical streaming media company will be introduced as your new client.  You will be introduced to the concept of design thinking, IBMs framework for organizing large enterprise AI projects.  You will also be introduced to the basics of scientific thinking, because the quality that distinguishes a seasoned data scientist from a beginner is creative, scientific thinking.  Finally you will start your work for the hypothetical media company by understanding the data they have, and by building a data ingestion pipeline using Python and Jupyter notebooks.
 
By the end of this course you should be able to:
1.  Know the advantages of carrying out data science using a structured process
2.  Describe how the stages of design thinking correspond to the AI enterprise workflow
3.  Discuss several strategies used to prioritize business opportunities
4.  Explain where data science and data engineering have the most overlap in the AI workflow
5.  Explain the purpose of testing in data ingestion 
6.  Describe the use case for sparse matrices as a target destination for data ingestion 
7.  Know the initial steps that can be taken towards automation of data ingestion pipelines","Data Science 
Information Engineering 
Artificial Intelligence (AI) 
Machine Learning 
Python Programming"
IBM Applied AI Professional Certificate,IBM,Beginner,4.6,https://in.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,"Artificial intelligence (AI) is transforming our world. Whether you’re a student, a developer, or a technology consultant - understanding AI and knowing how to create AI-powered applications can give you an edge in your career. This Professional Certificate is designed to arm you with the skills to work as an AI developer. 

This program will give you a firm understanding of AI technology, its applications, and its use cases. You will become familiar with concepts and tools like machine learning, data science, natural language processing, image classification, image processing, IBM Watson AI services, OpenCV, and APIs. Even if you have no programming background, through this Professional Certificate, you will learn practical Python skills to design, build, and deploy AI applications on the web. The courses will also enable you to apply pre-built AI smarts to your products and solutions.

Rather than create complex AI algorithms and interfaces from scratch, you’ll use IBM Watson AI services and APIs to create smart applications with minimal coding. By the end of this Professional Certificate, you will have completed several projects that showcase proficiency in applying AI and building AI-powered solutions.

In addition to earning a Professional Certificate from Coursera, you'll also receive a digital badge from IBM recognizing your proficiency in applied AI. ","Data Science 
Deep Learning 
Artificial Intelligence (AI) 
Jobs 
Machine Learning 
Application Programming Interfaces (API) 
watson 
Python Programming 
Data Analysis 
Pandas 
Numpy 
Application development"
Big Data Specialization,UC San Diego,Beginner,4.5,https://in.coursera.org/specializations/big-data,"Do you need to understand big data and how it will impact your business? This Specialization is for you. You will gain an understanding of what insights big data can provide through hands-on experience with the tools and systems used by big data scientists and engineers. Previous programming experience is not required! You will be guided through the basics of using Hadoop with MapReduce, Spark, Pig and Hive. By following along with provided code, you will experience how one can perform predictive modeling and leverage graph analytics to model problems. This specialization will prepare you to ask the right questions about data, communicate effectively with data scientists, and do basic exploration of large, complex datasets. In the final Capstone Project, developed in partnership with data software company Splunk, you’ll apply the skills you learned to do basic analyses of big data",Big Data Neo4j Mongodb Apache Spark Apache Hadoop Mapreduce Cloudera Data Model Data Modeling Data Management Splunk Machine Learning Concepts
IBM Data Science Professional Certificate,IBM,Beginner,4.6,https://in.coursera.org/professional-certificates/ibm-data-science,"Data science is one of the hottest professions of the decade, and the demand for data scientists who can analyze data and communicate results to inform data driven decisions has never been greater. This Professional Certificate will help anyone interested in pursuing a career in data science or machine learning develop career-relevant skills.

It’s a myth that to become a data scientist you need a Ph.D. Anyone with a passion for learning can take this Professional Certificate – no prior knowledge of computer science or programming languages required – and develop the skills, tools, and portfolio to have a competitive edge in the job market as an entry level data scientist.

The program consists of 9 online courses that will provide you with the latest job-ready tools and skills, including open source tools and libraries, Python, databases, SQL, data visualization, data analysis, statistical analysis, predictive modeling, and machine learning algorithms. You’ll learn data science through hands-on practice in the IBM Cloud using real data science tools and real-world data sets.

Upon completing these courses, you will have built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in data science.

In addition to earning a Professional Certificate from Coursera, you'll also receive a digital badge from IBM.

This program is ACE® recommended—when you complete, you can earn up to 12 college credits.",Data Science Deep Learning Machine Learning Big Data Data Mining Github Python Programming Jupyter notebooks Rstudio Methodology CRISP-DM Data Analysis
Optimize ML Models and Deploy Human-in-the-Loop Pipelines,DeepLearning.AI AWS,Advanced,4.7,https://in.coursera.org/learn/ml-models-human-in-the-loop-pipelines,"In the third course of the Practical Data Science Specialization, you will learn a series of performance-improvement and cost-reduction techniques to automatically tune model accuracy, compare prediction performance, and generate new training data with human intelligence.  After tuning your text classifier using Amazon SageMaker Hyper-parameter Tuning (HPT), you will deploy two model candidates into an A/B test to compare their real-time prediction performance and automatically scale the winning model using Amazon SageMaker Hosting. Lastly, you will set up a human-in-the-loop pipeline to fix misclassified predictions and generate new training data using Amazon Augmented AI and Amazon SageMaker Ground Truth.
Practical data science is geared towards handling massive datasets that do not fit in your local hardware and could originate from multiple sources. One of the biggest benefits of developing and running data science projects in the cloud is the agility and elasticity that the cloud offers to scale up and out at a minimum cost.

The Practical Data Science Specialization helps you develop the practical skills to effectively deploy your data science projects and overcome challenges at each step of the ML workflow using Amazon SageMaker. This Specialization is designed for data-focused developers, scientists, and analysts familiar with the Python and SQL programming languages and want to learn how to build, train, and deploy scalable, end-to-end ML pipelines - both automated and human-in-the-loop - in the AWS cloud",Human-in-the-Loop Pipelines Distributed Model Training and Hyperparameter Tuning Cost Savings and Performance Improvements A/B Testing and Model Deployment Data Labeling at Scale
IBM AI Foundations for Business Specialization,IBM,Beginner,4.7,https://in.coursera.org/specializations/ibm-ai-foundations-for-business,"This specialization will explain and describe the overall focus areas for business leaders considering AI-based solutions for business challenges. The first course provides a business-oriented summary of technologies and basic concepts in AI. The second will introduce the technologies and concepts in data science. The third introduces the AI Ladder, which is a framework for understanding the work and processes that are necessary for the successful deployment of AI-based solutions. ","Data Science Artificial Intelligence (AI) Information Technology (IT) Architecture Data Architecture Leadership Deep Learning Jobs Machine Learning Big Data 
Data Mining Management Analytics"
Probabilistic Graphical Models 1: Representation,Stanford University,Advanced,4.6,https://in.coursera.org/learn/probabilistic-graphical-models,"Probabilistic graphical models (PGMs) are a rich framework for encoding probability distributions over complex domains: joint (multivariate) distributions over large numbers of random variables that interact with each other. These representations sit at the intersection of statistics and computer science, relying on concepts from probability theory, graph algorithms, machine learning, and more. They are the basis for the state-of-the-art methods in a wide variety of applications, such as medical diagnosis, image understanding, speech recognition, natural language processing, and many, many more. They are also a foundational tool in formulating many machine learning problems. 

This course is the first in a sequence of three. It describes the two basic PGM representations: Bayesian Networks, which rely on a directed graph; and Markov networks, which use an undirected graph. The course discusses both the theoretical properties of these representations as well as their use in practice. The (highly recommended) honors track contains several hands-on assignments on how to represent some real-world problems. The course also presents some important extensions beyond the basic PGM representation, which allow more complex models to be encoded compactly.",Bayesian Network Graphical Model Markov Random Field
Information Extraction from Free Text Data in Health,Michigan University,Intermediate,Not available,https://in.coursera.org/learn/information-extraction-from-free-text-data-in-health-2,"In this MOOC, you will be introduced to advanced machine learning and natural language

processing techniques to parse and extract information from unstructured text documents in
healthcare, such as clinical notes, radiology reports, and discharge summaries. Whether you are an aspiring data scientist or an early or mid-career professional in data science or information technology in healthcare, it is critical that you keep up-to-date your skills in information extraction and analysis. 

To be successful in this course, you should build on the concepts learned through other intermediate-level MOOC courses and specializations in Data Science offered by the University of Michigan, so you  will be able to delve deeper into challenges in recognizing medical entities in health-related documents, extracting clinical information, addressing ambiguity and polysemy to tag them with correct concept types, and develop tools and techniques to analyze new genres of health information.

By the end of this course, you will be able to: 
Identify text mining approaches needed to identify and extract different kinds of information from health-related text data
Create an end-to-end NLP pipeline to extract medical concepts from clinical free text using one terminology resource
Differentiate how training deep learning models differ from training traditional machine learning models
Configure a deep neural network model to detect adverse events from drug reviews
List the pros and cons of Deep Learning approaches.""",Information Extraction Python Libraries Python Programming Computer Programming Tools Computer Programming
Key Technologies for Business Specialization,IBM,Beginner,4.7,https://in.coursera.org/specializations/key-technologies-for-business,"In this Specialization, we will cover 3 key technologies that are foundational and driving significant growth and innovation. These are Cloud Computing, Data Science, and Artificial Intelligence (AI).

Technology is essential for the future of business. Almost any organization that wants to modernize or get ahead, and anyone working there, needs to understand and leverage these essential technologies.

The courses in this Specialization provide foundational knowledge of Cloud, Data and AI, including business drivers behind their growth, the value they provide, their applications and use cases, and an understanding of how these technologies work. You will not only become familiar with the buzzwords associated with these technologies, but also experience them in action and develop hands-on skills to start working with them.

This Specialization is suitable for a variety of learners who are beginners with these technologies, including managers and executives, professionals who want to upskill, and students getting ready to start a career.

There is no special prior knowledge or hardware required. The only pre-requisites are basic computer literacy, device with a modern web browser with internet connectivity, and motivation to self-learn online.","Data Science Artificial Intelligence (AI) Business Cloud Computing 
technology Cloud Native Devops Iaas PaaS Saas Hybrid Multicloud Deep Learning 
Jobs Machine Learning"
CertNexus Certified Data Science Practitioner Professional Certificate,Certnexus,Intermediate,4.8,https://in.coursera.org/professional-certificates/certified-data-science-practitioner,"The field of Data Science has topped the Linked In Emerging Jobs list for the last 3 years with a projected growth of 28% annually and the World Economic Forum lists Data Analytics and Scientists as the top emerging job for 2022. 

Data can reveal insights and inform business—by guiding decisions and influencing day-to-day operations. This specialization will teach learners how to analyze, understand, manipulate, and present data within an effective and repeatable process framework and will enable you to bring value to the business by putting data science concepts into practice. 

This course is designed for business professionals that want to learn how to more effectively extract insights from their work and leverage that insight in addressing business issues, thereby bringing greater value to the business. The typical student in this course will have several years of experience with computing technology, including some aptitude in computer programming.

Certified Data Science Practitioner (CDSP)  will prepare learners for the CertNexus CDSP certification exam. 

To complete your journey to the CDSP Certification

Complete the Coursera Certified Data Science Practitioner Professional Certificate.

Review the CDSP Exam Blueprint.

Purchase your CDSP Exam Voucher.

 Register for your CDSP Exam.","Data Manipulation Machine Learning Data Analysis Extraction, Transformation And Loading (ETL) Data Model Data-Informed Decision-Making Scope (Project Management) Business Process Cleaning Data Mining Data Insight Dissemination"
Applied Social Network Analysis in Python,Michigan University,Intermediate,4.6,https://in.coursera.org/learn/python-social-network-analysis,"This course will introduce the learner to network analysis through tutorials using the NetworkX library. The course begins with an understanding of what network analysis is and motivations for why we might model phenomena as networks. The second week introduces the concept of connectivity and network robustness. The third week will explore ways of measuring the importance or centrality of a node in a network. The final week will explore the evolution of networks over time and cover models of network generation and the link prediction problem. 

This course should be taken after: Introduction to Data Science in Python, Applied Plotting, Charting & Data Representation in Python, and Applied Machine Learning in Python.",Graph Theory Network Analysis Python Programming Social Network Analysis
Introduction to Data Science Specialization,IBM,Beginner,4.7,https://in.coursera.org/specializations/introduction-data-science,"Interested in learning more about data science, but don’t know where to start? This 4-course Specialization from IBM will provide you with the key foundational skills any data scientist needs to prepare you for a career in data science or further advanced learning in the field.  

This Specialization will introduce you to what data science is and what data scientists do. You’ll discover the applicability of data science across fields, and learn how data analysis can help you make data driven decisions. You’ll find that you can kickstart your career path in the field without prior knowledge of computer science or programming languages: this Specialization will give you the foundation you need for more advanced learning to support your career goals.

You’ll grasp concepts like big data, statistical analysis, and relational databases, and gain familiarity with various open source tools and data science programs used by data scientists, like Jupyter Notebooks, RStudio, GitHub, and SQL. You'll complete hands-on labs and projects to learn the methodology involved in tackling data science problems and apply your newly acquired skills and knowledge to real world data sets.

In addition to earning a Specialization completion certificate from Coursera, you’ll also receive a digital badge from IBM recognizing you as a specialist in data science foundations.

This Specialization can also be applied toward the IBM Data Science Professional Certificate. ","Data Science Relational Database Management System (RDBMS) Cloud Databases 
Python Programming SQL Deep Learning Machine Learning Big Data Data Mining Github Jupyter notebooks Rstudio"
"Introduction to Data, Signal, and Image Analysis with MATLAB",Vanderbilt University,Intermediate,4.7,https://in.coursera.org/learn/matlab-image-processing,"Welcome to Introduction to Data, Signal, and Image Analysis with MATLAB!     

MATLAB is an extremely versatile programming language for data, signal, and image analysis tasks. This course provides an introduction on how to use MATLAB for data, signal, and image analysis. After completing the course,  learners will understand how machine learning methods can be used in MATLAB for data classification and prediction; how to perform data visualization, including data visualization for high dimensional datasets; how to perform image processing and analysis methods, including image filtering and image segmentation; and how to perform common signal analysis tasks, including filter design and frequency analysis.",MATLAB Image Analysis Signal Data Image processing Data classification Data visualization
CertNexus Certified Ethical Emerging Technologist Professional Certificate,Certnexus,Beginner,4.6,https://in.coursera.org/professional-certificates/certified-ethical-emerging-technologist,"The Certified Ethical Emerging Technologist (CEET) industry validated certification helps professionals differentiate themselves from other job candidates by demonstrating their ability to ethically navigate data driven emerging technologies such as AI, Machine Learning and Data Science.

Organizations and governments are seeking out ethics professionals to minimize risk and guide their decision-making about the design of inclusive, responsible, and trusted technology. An algorithm not designed and assessed in alignment with ethical standards can create further inequity across race, gender and marginalized populations. The reputational and financial impact of an ethics violation can devastate a company. Knowledgeable ethics leaders are needed who can navigate through the more than 160 frameworks and guidelines to select and implement the best strategy to promote fairness and minimize risk for their organization. This specialization is designed for learners who want to create and lead initiatives that prioritize ethical integrity within emerging data-driven technology fields such as artificial intelligence and data science and will be prepared to bridge the gap between theory and practice.

Your journey to CEET Certification 

1) Complete the Coursera Certified Ethical Emerging Technologist Professional Certificate

2) Review the CEET CET-110 Exam Blueprint

3) Purchase your CEET Exam Voucher 

4) Register for your CEET Exam ",Business Analysis Information Privacy Business Strategy Compliance Ethics Of Artificial Intelligence Risk Management General Statistics Risk Assessment Privacy Marketing Leadership And Management Communication
Neural Networks and Deep Learning,DeepLearning.AI,Intermediate,4.9,https://in.coursera.org/learn/neural-networks-deep-learning,"In the first course of the Deep Learning Specialization, you will study the foundational concept of neural networks and deep learning. 

By the end, you will be familiar with the significant technological trends driving the rise of deep learning; build, train, and apply fully connected deep neural networks; implement efficient (vectorized) neural networks; identify key parameters in a neural network’s architecture; and apply deep learning to your own applications.

The Deep Learning Specialization is our foundational program that will help you understand the capabilities, challenges, and consequences of deep learning and prepare you to participate in the development of leading-edge AI technology. It provides a pathway for you to gain the knowledge and skills to apply machine learning to your work, level up your technical career, and take the definitive step in the world of AI.",Deep Learning Artificial Neural Network Backpropagation Python Programming Neural Network Architecture
Data Science: Foundations using R Specialization,Johns Hopkins University,Beginner,4.6,https://in.coursera.org/specializations/data-science-foundations-r,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.
This Specialization covers foundational data science tools and techniques, including getting, cleaning, and exploring data, programming in R, and conducting reproducible research. Learners who complete this specialization will be prepared to take the Data Science: Statistics and Machine Learning specialization, in which they build a data product using real-world data.

The five courses in this specialization are the very same courses that make up the first half of the Data Science Specialization. This specialization is presented for learners who want to start and complete the foundational part of the curriculum first, before moving onto the more advanced topics in Data Science: Statistics and Machine Learning.","Data Science Machine Learning Github R Programming Exploratory Data Analysis 
Rstudio Data Analysis Debugging Data Manipulation Regular Expression (REGEX) Data Cleansing Cluster Analysis"
Introduction to Data Science in Python,Michigan University,Intermediate,4.5,https://in.coursera.org/learn/python-data-analysis,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses. 

This course should be taken before any of the other Applied Data Science with Python courses: Applied Plotting, Charting & Data Representation in Python, Applied Machine Learning in Python, Applied Text Mining in Python, Applied Social Network Analysis in Python.",Python Programming Numpy Pandas Data Cleansing
"Applied Plotting, Charting & Data Representation in Python",Michigan University,Intermediate,4.5,https://in.coursera.org/learn/python-plotting,"This course will introduce the learner to information visualization basics, with a focus on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good and bad visualization, and what statistical measures translate into in terms of visualizations. The second week will focus on the technology used to make visualizations in python, matplotlib, and introduce users to best practices when creating basic charts and how to realize design decisions in the framework. The third week will be a tutorial of functionality available in matplotlib, and demonstrate a variety of basic statistical charts helping learners to identify when a particular method is good for a particular problem. The course will end with a discussion of other forms of structuring and visualizing data. 

This course should be taken after Introduction to Data Science in Python and before the remainder of the Applied Data Science with Python courses: Applied Machine Learning in Python, Applied Text Mining in Python, and Applied Social Network Analysis in Python.",Python Programming Data Virtualization Data Visualization (DataViz) Matplotlib
Wearable Technologies and Sports Analytics,Michigan University,Intermediate,4.8,https://in.coursera.org/learn/wearable-technologies,"Sports analytics now include massive datasets from athletes and teams that quantify both training and competition efforts.  Wearable technology devices are being worn by athletes everyday and provide considerable opportunities for an in-depth look at the stress and recovery of athletes across entire seasons.  The capturing of these large datasets has led to new hypotheses and strategies regarding injury prevention as well as detailed feedback for athletes to try and optimize training and recovery.

This course is an introduction to wearable technology devices and their use in training and competition as part of the larger field of sport sciences.  It includes an introduction to the physiological principles that are relevant to exercise training and sport performance and how wearable devices can be used to help characterize both training and performance.  It includes access to some large sport team datasets and uses programming in python to explore concepts related to training, recovery and performance.",Wearable Technology 
Innovations in Investment Technology: Artificial Intelligence,Michigan University,Beginner,4.7,https://in.coursera.org/learn/invest-tech,"Explore the evolution of AI investing and online wealth management.

Investing and managing your wealth online has never been easier, but how does AI investing work and what are the challenges?

On this course, you’ll explore how technology has changed the way we invest money. You’ll consider the evolution of AI-driven online wealth management platforms, robo-advisors, and learn how they work and why they’re successful.

Moving from human-based data-driven investing strategies to neural networks, you’ll assess the ability of artificial intelligence to make investment decisions and discover the role of AI and machine learning in making trading decisions.",Robo advising Investment technology Artificial Intelligence (AI) Investing technology Diversified portfolio
Neuronales Netz von Scratch,Coursera,Beginner,Not available,https://in.coursera.org/projects/neuronales-netz-von-scratch-tensorflow,Neuronales Netz von Scratch,Computer Programming Python Programming Machine Learning
Cloud Computing Basics (Cloud 101),"
LearnQuest",Beginner,4.5,https://in.coursera.org/learn/cloud-computing-basics,"Welcome to Cloud Computing Basics (Cloud 101). 

Over the next few weeks, we will discuss the basics of Cloud computing: what it is, what it supports, and how it is delivered. We will delve into storage services, Cloud economics, levels of managed infrastructure, and Azure services. We will also explore different deployment models of Cloud computing, as well as several hosting scenarios. Last but not least, we will compare some of the cloud platforms and discuss the future of cloud computing.", Azure Services and APIs Cloud computing Cloud Service Platforms
DevOps on AWS: Operate and Monitor,AWS,Intermediate,4.6,https://in.coursera.org/learn/devops-aws-operate-monitor,"The third and the final course in the DevOps series will teach how to use AWS Services to control the architecture in order to reach a better operational state. Monitoring and Operation are key aspects for both the release pipeline and production environments, because they provide instruments that help discover what's happening, as well as do modifications and enhancements on infrastructure that is currently running. 

This course teaches how to use Amazon CloudWatch for monitoring, as well as Amazon EventBridge and AWS Config for continuous compliance. It also covers Amazon CloudTrail and a little bit of Machine Learning for Monitoring operations!",CI/CD aws Devops
Politics and Ethics of Data Analytics in the Public Sector,Michigan University,Intermediate,Not available,https://in.coursera.org/learn/politics-and-ethics-of-data-analytics-in-the-public-sector,"Deepen your understanding of the power and politics of data in the public sector, including how values — in addition to data and evidence — are always part of public sector decision-making. In this course, you will explore common ethical challenges associated with data, data analytics, and randomized controlled trials in the public sector. You will also navigate and understand the ethical issues related to data systems and data analysis by understanding frameworks, codes of ethics, and professional guidelines. Using two technical case studies, you will understand common ethical issues, including participation bias in populations and how slicing analysis is used to identify bias in predictive machine learning models. This course also serves as a capstone experience for the Data Analytics in the Public Sector with R Specialization, where you will conduct an applied policy options analysis using authentic data from a real-world case study. In this capstone exercise, you will review data as part of policy options analysis, create a visualization of the results, and make a recommendation.

All coursework is completed in RStudio in Coursera without the need to install additional software.

This is the fourth and final course within the Data Analytics in the Public Sector with R Specialization. The series is ideal for current or early-career professionals working in the public sector looking to gain skills in analyzing public data effectively. It is also ideal for current data analytics professionals or students looking to enter the public sector.",Power and Politics of Data Data Analysts 
Simple Parallel Coordinates Plot using d3 js,Coursera,Intermediate,Not available,https://in.coursera.org/projects/simple-parallel-coordinates-plot-pcp-d3-js,Throughout this guided project we are going to create a simple Parallel Coordinates Plot (PCP) using d3 js. PCP is one of the most common data visualization techniques used to visualize high-dimensional datasets. In this guided project you will create a simple PCP step by step. We will also cover some important topics in data visualization such as Linear and Ordinal scaling to best visualize our data. Having the knowledge of javascript programming language and the basics of d3 js are the two most important prerequisites to get the most out of this guided project.,D3 js Data  Analysis MicrosoftVisual Studio Data Visualization (DataViz) JavaScript
Introduction to Statistics,Stanford University,Beginner,4.6,https://in.coursera.org/learn/stanford-statistics,"Stanford's ""Introduction to Statistics"" teaches you statistical thinking concepts that are essential for learning from data and communicating insights. By the end of the course, you will be able to perform exploratory data analysis, understand key principles of sampling, and select appropriate tests of significance for multiple contexts. You will gain the foundational skills that prepare you to pursue more advanced topics in statistical thinking and machine learning.

Topics include Descriptive Statistics, Sampling and Randomized Controlled Experiments, Probability, Sampling Distributions and the Central Limit Theorem, Regression, Common Tests of Significance, Resampling, Multiple Comparisons.",Descriptive Statistics Sampling and Randomized Controlled Experiments Probability Sampling Distributions and the Central Limit Theorem Regression Common Tests of Significance Resampling Multiple Comparisons
DevOps on AWS Specialization,AWS,Intermediate,4.7,https://in.coursera.org/specializations/aws-devops,"DevOps on AWS specialization teaches you how to use the combination of DevOps philosophies, practices and tools to develop, deploy, and maintain applications in the AWS Cloud. Benefits of adopting DevOps include: rapid delivery, reliability, scalability, security and improved collaboration.

The first course introduces you to essential AWS products, services, and common solutions. The course covers the fundamental concepts of compute, database, storage, networking, monitoring and security that learners and professionals will need to know when working with AWS.

The second course in the specialization discusses topics such as source control, best practices for Continuous Integration, and how to use the right tools to measure code quality, by identifying workflow steps that could be automated.

The third course explains how to improve the deployment process with DevOps methodology, and also some tools that might make deployments easier, such as Infrastructure as Code, or IaC, and AWS CodeDeploy.

Finally, the last course teaches how to use Amazon CloudWatch for monitoring, as well as Amazon EventBridge and AWS Config for continuous compliance. It also covers Amazon CloudTrail and a little bit of Machine Learning for Monitoring operations.",Continuous Integration Devops Monitoring and Logging Continuous Delivery Microservices AWS Identity and Access Management Networking on AWS AWS Management Console Cloud Computing Aws security Test Automation AWS cloud
